State,City
Wisconsin,Green Bay
California,Oakland
California,San Diego
Missouri,Kansas City
New York,Buffalo
Lousianna,New Orleans
Florida,Miami
Georgia,Atlanta
Florida,Jacksonville
California,Los Angeles
North Carolina,Charlott
,DC
Maryland,Baltimore
Florida,Tampa
Ohio,Cleveland
Tennessee,Nashville
Ohio,Cincinnati
Colorado,Denver
Pennsylvania,Pittsburg
Texas,Houston
Massachusetts,New England
Washington,Seattle
Michigan,Detroit
Pennsylvania,Philadelphia
Illinois,Chicago
Arizona,"
Tucson"
Indiana,Indianapolis
Texas,Dallas
New York,New York
Calfornia,San Francisco
Minnesota,Minneapolis
